,Simulated,Observed,zone,geometry,well
2012-08-02,-4.898269,27.85,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-08-03,-2.9945939,29.6825,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-08-04,-0.74638623,32.007083333333334,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-08-05,1.7917645,35.441250000000004,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-08-06,6.102358,34.19708333333333,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-08-07,4.830687,31.180833333333336,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-08-08,2.0472898,28.797083333333333,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-08-09,1.335561,30.631666666666664,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-08-10,2.5066278,31.375833333333333,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-08-11,3.4208353,31.49,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-08-12,4.1035028,32.70875,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-08-13,6.777881,35.090833333333336,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-08-14,8.724136,30.28833333333333,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-08-15,5.1309385,32.278749999999995,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-08-16,7.2976227,34.0575,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-08-17,8.771911,32.66416666666667,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-08-18,8.262178,31.975416666666664,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-08-19,8.352097,31.3975,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-08-20,8.201899,31.205,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-08-21,8.429837,33.095,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-08-22,10.996905,32.78791666666667,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-08-23,10.419067,32.95041666666667,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-08-24,10.721597,33.37,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-08-25,12.782602,35.87708333333333,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-08-26,14.259226,36.34583333333333,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-08-27,13.500706,34.53041666666667,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-08-28,12.283535,31.97458333333333,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-08-29,12.0011835,33.235416666666666,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-08-30,13.675626,35.87708333333333,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-08-31,16.686277,35.770833333333336,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-09-01,15.970662,32.8675,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-09-02,13.608442,33.71458333333333,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-09-03,14.911966,35.93375,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-09-04,16.387972,31.982916666666668,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-09-05,12.235415,30.8175,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-09-06,12.422935,33.51291666666666,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-09-07,14.191306,33.0775,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-09-08,12.103064,31.87833333333333,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-09-09,11.600398,32.36541666666667,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-09-10,10.679144,33.9575,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-09-11,9.542168,29.95208333333333,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-09-12,10.778418,33.15291666666666,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-09-13,12.584556,29.26125,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-09-14,11.449643,33.50291666666667,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-09-15,15.686796,30.891666666666666,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-09-16,12.88801,30.831666666666667,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-09-17,12.217651,29.17625,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-09-18,11.434584,30.899583333333336,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-09-19,13.283331,30.93166666666667,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-09-20,13.309444,31.137083333333333,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-09-21,14.087888,32.50625,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-09-22,14.440219,30.12333333333333,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-09-23,14.3498535,30.642916666666665,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-09-24,15.269611,30.571250000000003,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-09-25,15.722945,31.249166666666667,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-09-26,17.20862,31.38416666666667,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-09-27,17.21673,31.15375,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-09-28,17.641691,31.0575,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-09-29,18.040575,31.01125,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-09-30,18.358164,31.027916666666663,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-10-01,18.728819,30.96666666666667,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-10-02,18.998314,30.982083333333332,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-10-03,19.295002,30.96375,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-10-04,19.571114,31.745416666666667,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-10-05,20.218147,31.2675,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-10-06,20.227755,33.927083333333336,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-10-07,23.76251,36.02041666666667,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-10-08,24.867693,36.489583333333336,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-10-09,24.681541,36.64875,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-10-10,23.987955,35.71208333333333,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-10-11,23.05176,32.509166666666665,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-10-12,22.837397,31.42333333333333,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-10-13,22.308449,31.17375,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-10-14,22.083498,29.721666666666668,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-10-15,20.487846,27.011666666666667,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-10-16,19.154263,25.93875,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-10-17,18.72061,25.666666666666668,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-10-18,18.457968,29.24208333333333,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-10-19,22.202576,34.67583333333334,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-10-20,23.16313,32.30125,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-10-21,22.745071,33.35,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-10-22,25.491844,36.16375,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-10-23,28.598085,36.66791666666666,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-10-24,29.890316,36.85125,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-10-25,30.748734,36.99208333333333,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-10-26,31.373419,37.028333333333336,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-10-27,31.840456,37.03083333333333,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-10-28,32.206055,37.02458333333333,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-10-29,32.49769,37.04208333333333,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-10-30,32.74028,37.05625,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-10-31,30.912485,36.49791666666667,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-11-01,29.10989,35.73583333333333,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-11-02,28.52308,36.428333333333335,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-11-03,31.75851,37.04708333333333,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-11-04,32.669426,37.095,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-11-05,31.891346,36.17875,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-11-06,29.137373,30.808333333333334,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
2012-11-07,27.02707,34.35916666666667,Wohler,POINT (6309081.618915186 1948204.8630479912),LRR0125
